latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
18.51509,100.16763,349.75,0.41,0.37,2026-01-08,0631,N,nominal,2.0NRT,301.17,3.84,D
18.51915,100.17093,335.63,0.41,0.37,2026-01-08,0631,N,nominal,2.0NRT,300.34,3.38,D
18.51851,100.16702,338.11,0.41,0.37,2026-01-08,0631,N,nominal,2.0NRT,302.25,3.13,D
18.16264,98.06678,329.2,0.51,0.41,2026-01-08,0631,N,nominal,2.0NRT,295.77,3.37,D
18.62542,100.78078,327.08,0.4,0.37,2026-01-08,0631,N,nominal,2.0NRT,297.53,1.32,D
17.92254,96.72113,326.64,0.41,0.45,2026-01-08,0631,N,low,2.0NRT,301.6,1.6,D
18.70218,101.15413,344.08,0.39,0.36,2026-01-08,0631,N,nominal,2.0NRT,294.58,5.05,D
18.65403,100.67899,325.78,0.4,0.37,2026-01-08,0631,N,nominal,2.0NRT,299.27,1.37,D
18.5271,99.85382,331.49,0.42,0.38,2026-01-08,0631,N,nominal,2.0NRT,298.61,3.43,D
18.57444,99.48217,331.42,0.44,0.38,2026-01-08,0631,N,nominal,2.0NRT,296.77,3.49,D
18.80346,100.82633,331.75,0.4,0.37,2026-01-08,0631,N,nominal,2.0NRT,295.95,3.11,D
18.61908,99.5755,333.19,0.43,0.38,2026-01-08,0631,N,nominal,2.0NRT,301.92,3.14,D
18.87587,100.94756,326.13,0.39,0.36,2026-01-08,0631,N,nominal,2.0NRT,295.3,2.22,D
18.09191,95.29636,327.43,0.5,0.49,2026-01-08,0631,N,nominal,2.0NRT,299.46,1.99,D
18.70233,98.24888,332.99,0.49,0.41,2026-01-08,0631,N,nominal,2.0NRT,301.4,4.62,D
18.70426,98.25031,332.1,0.49,0.41,2026-01-08,0631,N,nominal,2.0NRT,299.51,4.8,D
18.69542,98.02734,331.15,0.51,0.41,2026-01-08,0631,N,nominal,2.0NRT,296.27,3.9,D
19.27802,100.85706,334.53,0.39,0.36,2026-01-08,0631,N,nominal,2.0NRT,303.31,2.45,D
19.37035,101.18048,331.74,0.39,0.36,2026-01-08,0631,N,nominal,2.0NRT,299.88,1.13,D
18.33239,95.02644,342.58,0.52,0.5,2026-01-08,0631,N,nominal,2.0NRT,299.91,7.85,D
18.33693,95.02551,343.14,0.52,0.5,2026-01-08,0631,N,nominal,2.0NRT,302.25,11.61,D
18.33244,95.02467,345.07,0.52,0.5,2026-01-08,0631,N,nominal,2.0NRT,300.84,7.31,D
18.33793,95.02856,339.24,0.51,0.5,2026-01-08,0631,N,nominal,2.0NRT,297.92,7.31,D
18.33698,95.02374,331.77,0.52,0.5,2026-01-08,0631,N,nominal,2.0NRT,300.88,7.31,D
18.42466,95.25731,331.53,0.5,0.49,2026-01-08,0631,N,nominal,2.0NRT,299.4,2.27,D
18.48178,95.26517,331.06,0.5,0.49,2026-01-08,0631,N,low,2.0NRT,301.26,2.38,D
18.47932,95.26707,332.77,0.49,0.49,2026-01-08,0631,N,nominal,2.0NRT,300.93,4.55,D
18.4525,95.03584,334.93,0.51,0.49,2026-01-08,0631,N,nominal,2.0NRT,300.76,3.29,D
18.50329,95.24742,330.81,0.5,0.49,2026-01-08,0631,N,nominal,2.0NRT,301.87,3.08,D
18.50775,95.24649,330.32,0.5,0.49,2026-01-08,0631,N,nominal,2.0NRT,300.28,3.08,D
18.52467,95.2381,329.16,0.5,0.49,2026-01-08,0631,N,low,2.0NRT,303.76,3.71,D
18.52376,95.23341,330.39,0.5,0.49,2026-01-08,0631,N,low,2.0NRT,301.45,3.71,D
18.52913,95.23717,327.38,0.5,0.49,2026-01-08,0631,N,low,2.0NRT,301.87,4.77,D
18.57102,95.18925,336.68,0.5,0.49,2026-01-08,0631,N,nominal,2.0NRT,301.15,3.48,D
19.5857,100.99806,335.34,0.39,0.36,2026-01-08,0631,N,nominal,2.0NRT,299.08,4.65,D
19.49014,100.17734,326.84,0.41,0.37,2026-01-08,0631,N,nominal,2.0NRT,299.27,1.87,D
19.70949,101.39954,330.15,0.39,0.36,2026-01-08,0631,N,nominal,2.0NRT,294.13,2.63,D
18.7119,95.38223,330.75,0.48,0.48,2026-01-08,0631,N,nominal,2.0NRT,302.42,2.62,D
18.67518,95.16405,331.77,0.5,0.49,2026-01-08,0631,N,nominal,2.0NRT,301.78,2.11,D
18.80404,95.369,341.92,0.48,0.48,2026-01-08,0631,N,nominal,2.0NRT,304.56,4.37,D
19.13108,96.31919,342.53,0.42,0.45,2026-01-08,0629,N,nominal,2.0NRT,306.69,3.92,D
19.73746,99.6619,328.43,0.42,0.38,2026-01-08,0629,N,nominal,2.0NRT,295.41,1.48,D
